steam_id,game_time,recommend,helpful_count,review_date,review_comment,early_access,refund,game_id
Private ID,507.4 hrs on record,Recommended,"1,240 people found this review helpful","Posted: March 16, 2024","You play this game every night on your bed when you imagine fake scenarios like having your own house, money and a wife.",Full_Release,not refunded,413150
76561199208930069,127.8 hrs on record,Recommended,535 people found this review helpful,"Posted: May 12, 2024",i like this more than my real life,Full_Release,not refunded,413150
76561198836793817,158.2 hrs on record,Recommended,"1,216 people found this review helpful","Posted: March 6, 2024","My wife introduced me to this game and its a game I didn't know I needed. I deal with a lot of anxiety and PTSD from my military service and other stressors in my life, but there's something about harvesting crops and petting your duck named ""Howard"" that just feels so relaxing. This game is an escape from the everyday stress and I can't recommend it enough. And it was developed by a one man army?! Like damn this man earned his flowers.",Full_Release,not refunded,413150
76561198111477632,255.6 hrs on record,Recommended,518 people found this review helpful,"Posted: April 7, 2024","And after all these years, I've finally reached the summit ❤.",Full_Release,not refunded,413150
76561199235027626,195.9 hrs on record,Recommended,293 people found this review helpful,"Posted: May 18, 2024",I thought it would be chill and relaxing but I am grinding for my life. 10/10.,Full_Release,not refunded,413150
76561199070290137,243.2 hrs on record,Recommended,299 people found this review helpful,"Posted: October 7, 2024","I have played this game for 690 hours, 450 on the switch, 250 on my computer. My cat in real life is named Junimo. I love this game so much, and little Junimo is the light of my life.",Full_Release,not refunded,413150
76561199108764880,517.4 hrs on record,Recommended,349 people found this review helpful,"Posted: June 6, 2024",this game cured my depression,Full_Release,not refunded,413150
76561198109854496,"1,075.3 hrs on record",Recommended,281 people found this review helpful,"Posted: November 29, 2024","I love this game. It's like a warm comfortable blanket, a favorite cup of coffee or tea. It's a happy place to go when feeling stressed. It's great fun alone or with friends. With over a one thousand hours spent within, I know I'll return again and again.",Full_Release,not refunded,413150
76561198083880836,11.6 hrs on record,Recommended,"4,188 people found this review helpful","Posted: June 24, 2024",like if you think I'm gay,Full_Release,not refunded,413150
76561199531372165,147.5 hrs on record,Recommended,"1,114 people found this review helpful","Posted: April 4, 2024",This is an autism trap,Full_Release,not refunded,413150
